Item_ID,Creator_Credentials,Creator_Type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,JAMA_Authorship,JAMA_Attribution,JAMA_Disclosure,JAMA_Currency,Notes
YT-17,Kinesiologist (implied),Certified fitness professional,4,4,5,3,5,4,2,2,4,4,2,1,2,3,3,4,Y,Y,N,Y,Jeremy Ethier - science-based fitness. Everything that burns more fat than jogging. Cites research. 3.1M views. Known for evidence-based approach. Recent 2025 upload.
YT-18,None identified,Fitness influencer,4,3,5,1,4,2,1,1,3,3,1,1,2,1,1,2,N,N,N,Y,MadFit - 20 min fat burning workout for total beginners. 34.5M views. Popular fitness influencer. No formal credentials. Achievable workout format.
YT-19,None identified,General user,4,3,4,2,4,4,2,2,3,3,1,1,2,2,2,3,N,N,N,Y,RESPIRE channel. How to actually lose fat with exercise. 385K views. Appears science-oriented from title. No clear credentials.
YT-20,None identified,Certified fitness professional,4,3,5,1,4,3,1,1,3,3,1,1,2,2,2,3,N,N,N,Y,Body Project. 30 min fat burning home workout for beginners. 58M views. Achievable low impact. Professional presentation. Credentials not clearly stated.
YT-21,None identified,Fitness influencer,4,3,4,1,4,2,1,1,3,3,1,1,2,2,1,2,N,N,N,Y,Rebecca-Louise. Strength training at home for beginners no equipment. 99K views. Fitness YouTuber. No formal credentials visible.
YT-22,None identified,Organization,4,3,4,1,4,3,1,1,3,3,1,1,2,2,1,2,N,N,N,Y,Sunny Health & Fitness - fitness equipment company channel. 15 min beginner bodyweight strength. 119K views. Corporate fitness content. No individual credentials.
YT-23,None identified,Fitness influencer,4,3,5,1,4,3,1,1,3,3,1,1,2,2,1,2,N,N,N,Y,Justin Agustin. Beginner light dumbbell workout. 1.1M views. Fitness content creator. No formal credentials visible. Practical demonstration.
YT-24,None identified,Fitness influencer,4,3,5,1,4,2,1,1,3,3,1,1,2,1,1,2,N,N,N,Y,growwithjo. AT HOME beginner workouts changed my life. 5.8M views. Fitness influencer. Motivational/personal story angle. No credentials.
YT-25,Certified fitness professional (implied),Certified fitness professional,4,4,5,1,5,4,2,2,4,4,2,2,3,2,3,3,Y,N,N,Y,SeniorShape Fitness. 10 min full body strength for beginners and seniors. Osteoporosis friendly. 199K views. Targets older adults. Mentions safety considerations.
YT-26,Certified fitness professional (implied),Certified fitness professional,4,4,5,1,4,4,2,2,4,4,2,2,3,2,3,3,Y,N,N,Y,SeniorShape Fitness. Strength training for beginners and seniors with isometric and balance exercises. 431K views. Safety-conscious. Mentions modifications.
YT-27,Certified fitness professional (implied),Certified fitness professional,4,3,4,1,3,3,1,1,3,3,1,1,2,2,2,2,Y,N,N,Y,HASfit. 12 min beginner weight training. 220K views. Established fitness channel. Coach Kozak. Older upload 2016. Professional presentation.
YT-28,None identified,Fitness influencer,4,3,4,1,4,3,1,1,3,3,1,1,2,2,2,2,N,N,N,Y,Improved Health. Strength training for beginners. Build strength get toned speed up metabolism. 282K views. No credentials clearly identified.
YT-29,None identified,Fitness influencer,3,3,4,1,4,2,1,1,3,2,1,1,1,1,1,2,N,N,N,Y,MadFit. 5 min arm workout. Very short format. 10.7M views. Limited educational content expected. Workout demonstration focused.
YT-30,Certified fitness professional (implied),Certified fitness professional,4,3,5,1,4,3,1,1,4,3,1,1,2,2,2,3,Y,N,N,Y,HASfit. 30 min full body dumbbell workout for beginners. 912K views. Coach Kozak and Claudia. Established beginner fitness channel. Professional.
YT-31,Medical professionals,Healthcare professional,5,4,4,4,5,5,3,3,3,4,2,2,3,3,3,4,Y,Y,N,Y,GW Integrative Medicine. New Physical Activity Guidelines for Americans Getting Granular. 19 views. Academic/medical channel. Evidence-based. Very recent 2025.
YT-32,Medical institution,Organization,5,4,5,3,4,4,3,2,3,4,1,2,3,3,2,4,Y,Y,N,Y,Mayo Clinic. New fitness guidelines for the new year. 4K views. Highly reputable medical institution. From an accredited hospital. Evidence-based.
YT-33,Healthcare organization,Organization,4,4,4,3,4,4,3,2,3,4,2,2,3,3,2,3,Y,Y,N,Y,Arthritis UK (now Versus Arthritis). Guidelines for physical activity. 21K views. Established health charity. References government guidelines.
YT-34,Continuing education provider,Organization,4,3,3,3,4,4,2,2,3,3,1,1,2,2,2,3,Y,Y,N,Y,CEPA Continuing Education. 2018 Physical Activity Guidelines for Americans. 514 views. Educational/professional development channel. References official guidelines.
YT-35,Healthcare system,Organization,4,3,4,2,4,4,2,2,3,4,1,2,3,2,2,3,Y,N,N,Y,Good Shepherd Health Care System. Physical Activity Guidelines. 455 views. Healthcare provider. Mentions benefits of physical activity and tips.
YT-36,Public health department,Organization,3,3,3,2,2,4,2,1,3,3,1,2,2,2,2,2,Y,N,N,Y,Southern Nevada Health District. Physical Activity Guidelines. 376 views. Government public health agency. Older 2013 upload. Basic information.
YT-37,News organization,Organization,3,3,4,2,4,3,1,1,3,3,1,1,2,2,2,2,Y,N,N,Y,CBS Boston. Government issues new exercise guidelines. 206 views. News report on 2018 PA guidelines. Brief news segment format.
YT-38,PhD (Steve Ball),Healthcare professional,4,4,4,3,4,4,3,2,3,4,1,2,3,3,2,4,Y,Y,N,Y,MU Health. New Guidelines for Physical Activity with Steve Ball PhD. 1.3K views. Accredited hospital. PhD expert. References official guidelines.
YT-39,News organization,Organization,3,3,4,1,4,3,1,1,2,3,1,1,2,2,2,2,N,N,N,Y,KING 5 Seattle. Physical activity guidelines that work. 94 views. Local news. Brief segment. Limited depth. No specific expert credentials shown.
YT-40,NHS Foundation Trust,Organization,4,4,4,3,4,4,3,2,3,4,2,2,3,3,2,3,Y,Y,N,Y,County Durham & Darlington NHS Foundation Trust. Physical activity guidelines. 554 views. UK healthcare provider. Slide-based presentation. References official guidelines.
YT-41,None identified,Certified fitness professional,4,3,5,1,4,3,1,1,3,3,1,1,2,2,2,3,Y,N,N,Y,Tone and Tighten. 20 min full body workout for beginners no equipment. 1.1M views. Professional fitness channel presentation. Credentials implied by channel brand.
YT-42,None identified,Fitness influencer,4,3,5,1,4,2,1,1,3,3,1,1,2,1,1,2,N,N,N,Y,growingannanas. 25 min full body HIIT for beginners. 27.5M views. No repeat home workout. Very popular. No credentials visible. Workout demonstration.
YT-43,None identified,Fitness influencer,4,3,5,1,4,3,1,1,3,3,1,1,2,2,2,3,N,N,N,Y,Milestone Strength. 20 min full body workout no equipment. 6.2M views. Professional presentation. No formal credentials clearly stated.
YT-44,Trainer and Physical Therapist,Healthcare professional,4,4,5,1,5,3,1,1,4,3,1,1,2,2,2,3,Y,N,N,Y,Jae-ho - Trainer & Physical Therapist. 25 min full body workout at home. 866K views. Credentials stated in channel name. Recent 2025 upload. Bilingual.
YT-45,None identified,Organization,4,3,4,1,4,3,2,1,3,3,1,1,2,2,2,3,Y,N,N,Y,Fit Father Project - Fitness For Busy Fathers. How to set up home workout schedule for men. 72K views. Branded fitness organization. Targets specific demographic.
YT-46,None identified,Certified fitness professional,4,4,5,1,4,3,2,1,4,3,1,1,2,3,2,3,N,N,N,Y,Calisthenicmovement. TOP 10 exercises to get fit at home. 1.6M views. Professional calisthenics education channel. Detailed exercise instruction expected.
YT-47,None identified,Certified fitness professional,4,3,5,1,4,2,1,1,4,3,1,1,2,2,1,3,N,N,N,Y,Caroline Girvan. 30 min full body dumbbell workout. 16.5M views. Well-known fitness creator. Professional production. Muscle building focus.
YT-48,None identified,Fitness influencer,4,3,5,1,4,2,1,1,3,3,1,1,2,1,1,2,N,N,N,Y,MadFit. 30 min full body workout apartment friendly no jumping. 4.9M views. Popular fitness influencer. No credentials. Practical for small spaces.
YT-49,None identified,Fitness influencer,4,3,5,1,4,3,1,1,3,3,1,1,2,2,2,3,N,N,N,Y,Rowan Row. 30 min full body workout with warm up no equipment no repeat. 4.9M views. Fitness YouTuber. Professional production quality.
YT-50,None identified,Fitness influencer,4,3,5,1,4,2,1,1,3,3,1,1,2,1,1,2,N,N,N,Y,MadFit. 30 min full body workout from the MadFit App. 4.1M views. App promotion included. No credentials. Workout demonstration.
