Item_ID,Creator_Credentials,Creator_Type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,JAMA_Authorship,JAMA_Attribution,JAMA_Disclosure,JAMA_Currency,Notes
IG-28,None identified,Organization,3,3,3,1,1,3,1,1,2,2,1,1,1,1,2,2,N,N,N,Y,Laura Franklin Rehab promoting Intro to Strength Training programme. Addresses confidence building and safe progression. Email list sign-up CTA. Limited specific PA content.
IG-29,Personal Trainer,Certified fitness professional,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,Y,N,N,Y,Personal trainer self-promotion. No PA information. Relatable branding and personal training services in Newcastle. Hashtags only.
IG-30,PT DPT,Healthcare professional,3,3,4,1,1,3,1,1,3,2,1,1,2,1,2,3,Y,N,N,Y,Kate B PT DPT promoting Foundations in 15 strength training program for runners. 4-week self-paced program. Mentions spoonies and chronic illness community. Program details but content behind paywall.
IG-31,Pilates Instructor,Certified fitness professional,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,Y,N,N,Y,Mat Pilates class promotion at The Pattern Hall. Schedule listed. No exercise information. Class advertisement only.
IG-32,None identified,Organization,3,3,3,1,1,3,2,1,2,2,1,1,2,2,2,2,N,N,N,Y,Everyday Active campaign with Moving Medicine UK. Encourages beginners and those with health conditions to get moving. Links to resources. Public health messaging.
IG-33,None identified,Organization,3,3,3,2,1,3,2,1,2,2,1,1,2,1,1,2,N,Y,N,Y,Move Your Way Iowa. Healthy aging and staying active. Links to CDC resources. Government-affiliated public health content. References CDC website.
IG-34,None identified,Organization,3,3,3,1,1,3,2,1,2,2,1,1,2,2,2,2,N,N,N,Y,Everyday Active campaign. Same series as IG-32. Encourages movement for beginners and those with health conditions. Links to Moving Medicine resources.
IG-35,None identified,Organization,3,3,3,1,1,3,1,1,2,3,1,1,2,2,1,2,N,N,N,Y,Balance Health Phillip Island. Cites Australian PA guidelines: 150-300 min moderate activity plus twice weekly strength training. Mentions organized activity walking running biking. Health practice promotion.
IG-36,None identified,Organization,2,2,3,1,1,3,2,1,1,1,1,1,1,1,1,1,N,N,N,Y,Everyday Active campaign. Generic encouragement to start moving. Links to resources in comments. Tags many NHS and council accounts. Minimal PA content.
IG-37,None identified,Organization,3,3,3,2,1,3,2,1,2,2,1,1,2,1,1,2,N,Y,N,Y,Everyday Active for National Obesity Awareness Week. References UK government PA guidelines. Mentions reducing obesity risk and disease prevention. Links to guidelines.
IG-38,None identified,Organization,2,2,3,1,1,3,1,1,1,2,1,1,1,1,1,1,N,N,N,Y,Physical Activity Manitoba. Brief statement about exercise reducing chronic disease risk. Very minimal content. Quote-based carousel with hashtags.
IG-39,None identified,Organization,2,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,72 Dragons Health. Profile of Dr. Juana Willumsen WHO technical officer. Informational about her work on PA guidelines for children. No actionable PA information for reader.
IG-40,None identified,Organization,3,3,3,1,1,3,2,1,2,2,1,1,2,2,2,2,N,N,N,Y,Everyday Active campaign. Same series. Yoga as movement. Encourages beginners and those with health conditions. Links to Moving Medicine resources.
IG-41,None identified,Fitness influencer,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Livia Voss. Workout and plates (food). Minimal caption. No PA information. Lifestyle content showing gym and food.
IG-42,None identified,Organization,3,2,3,1,1,2,1,1,2,2,1,1,1,1,1,2,N,N,N,Y,BuyReformer promoting Pilates circle. Mentions inner thigh activation and core engagement. Marketing for Pilates equipment. Some exercise description but primarily product promotion.
IG-43,None identified,General user,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Personal workout photo with minimal caption. Good morning Saturday hashtags. No PA information. Non-English elements (Filipino).
IG-44,Health Coach,Healthcare professional,3,3,4,1,1,3,2,1,2,2,1,1,2,1,2,2,Y,N,N,Y,Dr. K Health Coaching for Women 40+. Promotes blog on at-home strength training for women over 50. Mentions exercises practical tips routines. Content behind link in bio.
IG-45,None identified,Organization,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Acero Gym. Empty caption. No PA information visible. Gym post with no content.
IG-46,None identified,General user,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Motivational text overlay: Show them how badly you want it. Dark video screenshot. No PA information. General fitness hashtags only.
IG-47,Certified Trainers,Certified fitness professional,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,Y,N,N,Y,Personalized Fitness Nutrition and Yoga certified trainers in Arizona. Caption about needing education structure support. No specific PA information. Service promotion.
IG-48,None identified,General user,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Started from zero motivational post. Dark workout video screenshot. No PA information. General fitness hashtags.
IG-49,None identified,Certified fitness professional,3,3,3,1,1,3,1,1,3,1,1,1,1,1,1,2,N,N,N,Y,Anthony Flores. 4-station 40-minute full body workout description. 3 rounds per station 40 seconds on 20 off. Specific workout structure but no exercise details listed.
IG-50,None identified,General user,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,JFrostyb personal home workout log. Mentions full body routine and 3 lb weight loss. No exercise descriptions. Personal diary-style post.
